file	packed_size	unpacked_size	blocks	packed_sha256	unpacked_sha256	block_unpacked_sizes
PRUMS/R13.PAC	1085	2048	1	41dc61ede63aa73656ab222123e485801c8c17809e047a403d4f445d004093e8	dcead0ae4072a338fb197cd5c4776b1cb356e88776e28b4d045e2e1f908816d8	2048
PRUMS/R14.PAC	874	2048	1	5be2aae55c5ef73b7b3ebd0d92526f77d8c1b0b36a3b74d385db2ab61cfe48e3	68cba3799d9274e444b59be1247628af1bdafb389bb8dee42feb5135d914041c	2048
PRUMS/R15.PAC	1017	2048	1	3b7d7da95de9eae96c2afbc10e89dc23e43929db28616b3455114d85e42c16c7	c20f673b50a88031f457fd41325ff5274ccd99dd73102623644e1b5dde48214f	2048
PRUMS/R16.PAC	919	2048	1	8ebea7fcbaaf8e22f11cef8ab2b2af47431c5824269470867687d6ede7a60d61	e947230482d6f0b98c9628b4bd20c82bf887d0734e7b6ec87c34cd80e9f13262	2048
PRUMS/R17.PAC	1059	2048	1	1ce0ef6adb60618b5fe159cf0f1e9cba82803842a2b8175d41df6f131a7ca735	ecdb63113a4ff4c818b67fe9ab2c6ab0cb4d92f8a5a2453223a2d0334c26556c	2048
PRUMS/R20.PAC	1089	2048	1	85ac96e638c718dd60882c5daadb416c21bb30e1da22b3f7f13d96dbf1e2a35f	99a89533ecdf17641401c687e013dbefa52764b057524847781c78c85ed12889	2048
PRUMS/R21.PAC	1060	2048	1	92b47b970dadff0c3abf49ca3718c2f0a6ab935976cb546cc83487325fa78a62	c81f5a79e5da825d17c281675009e3e2c4d46feba710136987c0f391547ab156	2048
PRUMS/R22.PAC	958	2048	1	18f6feb29a694523c69edd13237c990737ee9740e57cc8c17bb1e7e97fa7a8b0	c95683513ca720866bfcbdad24628d190217e6031252c9d5ac979caba7021fc1	2048
PRUMS/R23.PAC	1010	2048	1	35763f5ac981785b8281da3f044946840ca150df3afca68e50b5ec8ca99cadd2	818307b875631355062334929e157a10a8b56a88450f685776ee616497278462	2048
PRUMS/R24.PAC	507	2048	1	7dfc2f79692633bfc0d4505747684ec80ac625645d28956edec67cdc769181c1	3ed4c0c1ec260140c8b0270284d5d8757706e791cc7705887ef4ff925c8decd6	2048
